country,year,gdp_per_hour_worked_1990_100
arg,1980,123.4000015258789
arg,1981,116.80000305175781
arg,1982,112.0999984741211
arg,1983,113.30000305175781
arg,1984,113.69999694824219
arg,1985,106.0999984741211
arg,1986,111.30000305175781
arg,1987,112.5999984741211
arg,1988,109.0
arg,1989,102.0
arg,1990,100.0
arg,1991,107.0
arg,1992,114.0999984741211
arg,1993,120.5
arg,1994,126.30000305175781
arg,1995,127.30000305175781
arg,1996,134.39999389648438
arg,1997,132.89999389648438
arg,1998,133.89999389648438
arg,1999,130.0
arg,2000,130.1999969482422
arg,2001,129.3000030517578
arg,2002,129.89999389648438
arg,2003,124.69999694824219
arg,2004,123.80000305175781
arg,2005,127.19999694824219
arg,2006,128.60000610351562
arg,2007,133.3000030517578
arg,2008,133.1999969482422
arg,2009,134.0
arg,2010,142.10000610351562
arg,2011,143.60000610351562
arg,2012,138.39999389648438
arg,2013,140.60000610351562
arg,2014,139.10000610351562
arg,2015,135.89999389648438
aus,1980,87.5999984741211
aus,1981,90.19999694824219
aus,1982,91.9000015258789
aus,1983,92.5
aus,1984,95.80000305175781
aus,1985,96.80000305175781
aus,1986,96.0999984741211
aus,1987,97.69999694824219
aus,1988,98.19999694824219
aus,1989,99.0
aus,1990,100.0
aus,1991,100.5999984741211
aus,1992,103.80000305175781
aus,1993,106.69999694824219
aus,1994,108.0
aus,1995,107.9000015258789
aus,1996,110.9000015258789
aus,1997,114.5999984741211
aus,1998,118.5999984741211
aus,1999,120.9000015258789
aus,2000,122.5999984741211
aus,2001,125.69999694824219
aus,2002,129.1999969482422
aus,2003,130.1999969482422
aus,2004,132.60000610351562
aus,2005,134.10000610351562
aus,2006,134.89999389648438
aus,2007,137.3000030517578
aus,2008,139.10000610351562
aus,2009,140.6999969482422
aus,2010,142.0
aus,2011,143.3000030517578
aus,2012,146.60000610351562
aus,2013,148.60000610351562
aus,2014,151.1999969482422
aus,2015,155.3000030517578
aut,1980,79.0
aut,1981,82.0999984741211
aut,1982,83.9000015258789
aut,1983,86.69999694824219
aut,1984,87.30000305175781
aut,1985,89.30000305175781
aut,1986,91.30000305175781
aut,1987,93.0999984741211
aut,1988,95.5999984741211
aut,1989,97.5999984741211
aut,1990,100.0
aut,1991,101.5999984741211
aut,1992,105.0999984741211
aut,1993,106.30000305175781
aut,1994,109.0
aut,1995,114.0
aut,1996,114.19999694824219
aut,1997,115.30000305175781
aut,1998,119.5999984741211
aut,1999,121.80000305175781
aut,2000,124.69999694824219
aut,2001,126.4000015258789
aut,2002,128.8000030517578
aut,2003,129.5
aut,2004,132.0
aut,2005,134.89999389648438
aut,2006,138.39999389648438
aut,2007,141.6999969482422
aut,2008,141.8000030517578
aut,2009,141.60000610351562
aut,2010,143.60000610351562
aut,2011,145.10000610351562
aut,2012,146.5
aut,2013,147.60000610351562
aut,2014,146.8000030517578
aut,2015,146.1999969482422
bgd,1980,88.19999694824219
bgd,1981,91.30000305175781
bgd,1982,89.9000015258789
bgd,1983,90.19999694824219
bgd,1984,90.5
bgd,1985,90.9000015258789
bgd,1986,92.30000305175781
bgd,1987,94.80000305175781
bgd,1988,97.5999984741211
bgd,1989,98.30000305175781
bgd,1990,100.0
bgd,1991,100.5
bgd,1992,101.0
bgd,1993,102.9000015258789
