country,year,gdp_per_hour_worked_constant_1990_us_at_ppp
arg,1980,12.119999885559082
arg,1981,11.470000267028809
arg,1982,11.010000228881836
arg,1983,11.130000114440918
arg,1984,11.170000076293945
arg,1985,10.420000076293945
arg,1986,10.930000305175781
arg,1987,11.0600004196167
arg,1988,10.710000038146973
arg,1989,10.020000457763672
arg,1990,9.819999694824219
arg,1991,10.510000228881836
arg,1992,11.199999809265137
arg,1993,11.829999923706055
arg,1994,12.399999618530273
arg,1995,12.5
arg,1996,13.199999809265137
arg,1997,13.0600004196167
arg,1998,13.149999618530273
arg,1999,12.770000457763672
arg,2000,12.789999961853027
arg,2001,12.699999809265137
arg,2002,12.760000228881836
arg,2003,12.25
arg,2004,12.15999984741211
arg,2005,12.489999771118164
arg,2006,12.630000114440918
arg,2007,13.09000015258789
arg,2008,13.09000015258789
arg,2009,13.15999984741211
arg,2010,13.960000038146973
arg,2011,14.100000381469727
arg,2012,13.59000015258789
arg,2013,13.8100004196167
arg,2014,13.65999984741211
arg,2015,13.350000381469727
arm,2009,13.920000076293945
arm,2010,13.680000305175781
arm,2011,14.680000305175781
arm,2012,15.760000228881836
arm,2013,16.440000534057617
arm,2014,16.829999923706055
arm,2015,16.770000457763672
aus,1980,17.299999237060547
aus,1981,17.81999969482422
aus,1982,18.149999618530273
aus,1983,18.270000457763672
aus,1984,18.90999984741211
aus,1985,19.1200008392334
aus,1986,18.979999542236328
aus,1987,19.299999237060547
aus,1988,19.389999389648438
aus,1989,19.540000915527344
aus,1990,19.75
aus,1991,19.8700008392334
aus,1992,20.5
aus,1993,21.079999923706055
aus,1994,21.329999923706055
aus,1995,21.309999465942383
aus,1996,21.899999618530273
aus,1997,22.639999389648438
aus,1998,23.40999984741211
aus,1999,23.8700008392334
aus,2000,24.209999084472656
aus,2001,24.81999969482422
aus,2002,25.510000228881836
aus,2003,25.719999313354492
aus,2004,26.190000534057617
aus,2005,26.469999313354492
aus,2006,26.639999389648438
aus,2007,27.110000610351562
aus,2008,27.459999084472656
aus,2009,27.790000915527344
aus,2010,28.030000686645508
aus,2011,28.290000915527344
aus,2012,28.950000762939453
aus,2013,29.350000381469727
aus,2014,29.850000381469727
aus,2015,30.65999984741211
aut,1980,15.760000228881836
aut,1981,16.389999389648438
aut,1982,16.739999771118164
aut,1983,17.309999465942383
aut,1984,17.43000030517578
aut,1985,17.81999969482422
aut,1986,18.239999771118164
aut,1987,18.59000015258789
aut,1988,19.079999923706055
aut,1989,19.489999771118164
aut,1990,19.959999084472656
aut,1991,20.280000686645508
aut,1992,20.969999313354492
aut,1993,21.229999542236328
aut,1994,21.770000457763672
aut,1995,22.75
aut,1996,22.790000915527344
aut,1997,23.010000228881836
aut,1998,23.8799991607666
aut,1999,24.31999969482422
aut,2000,24.889999389648438
aut,2001,25.229999542236328
aut,2002,25.700000762939453
aut,2003,25.850000381469727
aut,2004,26.34000015258789
aut,2005,26.93000030517578
aut,2006,27.639999389648438
aut,2007,28.290000915527344
aut,2008,28.309999465942383
aut,2009,28.260000228881836
aut,2010,28.65999984741211
aut,2011,28.959999084472656
aut,2012,29.25
aut,2013,29.459999084472656
aut,2014,29.299999237060547
aut,2015,29.18000030517578
bgd,1980,0.8700000047683716
bgd,1981,0.9100000262260437
bgd,1982,0.8899999856948853
bgd,1983,0.8899999856948853
bgd,1984,0.8999999761581421
bgd,1985,0.8999999761581421
bgd,1986,0.9200000166893005
bgd,1987,0.9399999976158142
