country,year,gdp_per_person_engaged_constant_1990_us_at_ppp
alb,1980,6484
alb,1981,6425
alb,1982,6294
alb,1983,6276
alb,1984,6306
alb,1985,6377
alb,1986,6335
alb,1987,6313
alb,1988,6370
alb,1989,6420
alb,1990,6561
alb,1991,4834
alb,1992,5754
alb,1993,6601
alb,1994,6437
alb,1995,7445
alb,1996,8284
alb,1997,7440
alb,1998,8279
alb,1999,9573
alb,2000,10177
alb,2001,10986
alb,2002,11456
alb,2003,12034
alb,2004,12648
alb,2005,13364
alb,2006,14045
alb,2007,14812
alb,2008,15543
alb,2009,17080
alb,2010,17730
alb,2011,17768
alb,2012,17417
alb,2013,18474
alb,2014,18582
alb,2015,18868
dza,1980,18221
dza,1981,17975
dza,1982,17994
dza,1983,18099
dza,1984,18461
dza,1985,18794
dza,1986,18025
dza,1987,17341
dza,1988,16431
dza,1989,16438
dza,1990,15747
dza,1991,15055
dza,1992,14939
dza,1993,14410
dza,1994,13970
dza,1995,13755
dza,1996,13798
dza,1997,13494
dza,1998,13760
dza,1999,14005
dza,2000,14157
dza,2001,13793
dza,2002,13925
dza,2003,15410
dza,2004,13776
dza,2005,14143
dza,2006,13046
dza,2007,13921
dza,2008,13395
dza,2009,13141
dza,2010,13246
dza,2011,13810
dza,2012,13465
dza,2013,13049
dza,2014,13324
dza,2015,13450
ago,1980,2618
ago,1981,2528
ago,1982,2371
ago,1983,2259
ago,1984,2237
ago,1985,2216
ago,1986,1986
ago,1987,2177
ago,1988,2453
ago,1989,2457
ago,1990,2506
ago,1991,2463
ago,1992,2249
ago,1993,1644
ago,1994,1611
ago,1995,1797
ago,1996,2097
ago,1997,2157
ago,1998,2101
ago,1999,2109
ago,2000,2118
ago,2001,2133
ago,2002,2386
ago,2003,2389
ago,2004,2572
ago,2005,3025
ago,2006,3510
ago,2007,4232
ago,2008,4702
ago,2009,4661
ago,2010,4660
ago,2011,4688
ago,2012,4774
ago,2013,4854
ago,2014,4896
ago,2015,4943
arg,1980,23921
arg,1981,22496
arg,1982,21447
arg,1983,21539
arg,1984,21476
